Disease ID	Disease Description
H01900	Encephalopathy due to defective mitochondrial and peroxisomal fission
H01901	Barrett esophagus
H01902	Brittle cornea syndrome
H01903	Brown-Vialetto-Van Laere syndrome
H01904	Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome
H01905	Trichomegaly
H01906	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis
H01907	Acid-labile subunit deficiency
H01908	Carey-Fineman-Ziter syndrome
H01909	Hypoinsulinemic hypoglycemia with hemihypertrophy
H01910	Infantile myofibromatosis
H01911	Syndromic autosomal recessive mental retardation
H01912	Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi; CLOVE syndrome
H01913	Renpenning syndrome
H01914	Christianson syndrome
H01915	Borjeson-Forssman-Lehmann syndrome
H01916	Stocco dos Santos X-linked mental retardation syndrome
H01917	CK syndrome
H01918	Familial autosomal recessive hypercholesterolemia
H01919	Proud syndrome
H01920	Partington syndrome
H01921	MICPCH syndrome; Syndromic X-linked mental retardation, Najm type
H01922	Infantile hypotonia with psychomotor retardation and characteristic facies
H01923	Microcephaly, short stature, and impaired glucose metabolism
H01924	Sydenham chorea; Chorea minor
H01925	Transient neonatal zinc deficiency
H01926	Ventricular septal defect
H01927	Van der Woude syndrome
H01928	Smith-Kingsmore syndrome; Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome
H01929	2,4-Dienoyl-CoA reductase deficiency
H01930	Au-Kline syndrome
H01931	Lethal-type popliteal pterygium syndrome; Bartsocas-Papas syndrome (BPS)
H01932	Ablepharon-macrostomia syndrome
H01933	Porokeratosis
H01934	Barber-Say syndrome
H01935	Familial hypercholanemia
H01936	Hyperbiliverdinemia
H01937	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly; Hydranencephaly with renal aplasia-dysplasia
H01938	Hypermanganesemia with dystonia
H01939	Glycogen storage disease type I; Von Gierke disease
H01940	Glycogen storage disease type II; Pompe disease
H01941	Glycogen storage disease type III; Cori disease; Forbes disease
H01942	Glycogen storage disease type IV; Andersen disease
H01943	Glycogen storage disease type V; McArdle disease
H01944	Glycogen storage disease type VI; Hers disease
H01945	Glycogen storage disease type VII; Tarui disease
H01946	Glycogen storage disease type XI; Lactate dehydrogenase A deficiency
H01947	Fanconi-Bickel syndrome
H01948	Glycogen storage disease type IX; Phosphorylase kinase deficiency
H01949	Glycogen storage disease type 0b; Muscle glycogen synthase deficiency
H01950	Glycogen storage disease type 0a; Liver glycogen synthase deficiency
H01951	Glycogen storage disease type X
H01952	Glycogen storage disease type XII
H01953	Glycogen storage disease type XIII
H01954	Glycogen storage disease type XIV; Congenital disorder of glycosylation type It
H01955	Glycogen storage disease type XV
H01956	Glycogen storage disease of heart
H01957	Fukuyama congenital muscular dystrophy
H01958	Merosin-deficient congenital muscular dystrophy
H01959	Muscular dystrophy-dystroglycanopathy type C
H01960	Muscular dystrophy-dystroglycanopathy type B
H01961	Congenital muscular dystrophy type 1C
H01962	Congenital muscular dystrophy type 1D
H01963	Duchenne muscular dystrophy
H01964	Becker muscular dystrophy
H01965	Miyoshi muscular dystrophy; Miyoshi myopathy
H01966	Cartilage-hair hypoplasia; Metaphyseal dysplasia, McKusik type
H01967	Anauxetic dysplasia
H01968	Hyper-IgE syndrome; Job syndrome; Buckley syndrome
H01969	X-linked lymphoproliferative syndrome; Duncan disease
H01970	Lymphoproliferative syndrome
H01971	IPEX syndrome; Immune dysregulation, polyendocrinopathy, enteropathy, X-linked syndrome
H01972	Autoimmune polyendocrinopathy syndrome type 1; Autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy (APECED)
H01973	Fertile eunuch syndrome; Hypogonadotropic hypogonadism-23 without anosmia (HH23)
H01974	Limb-girdle muscular dystrophy 2B
H01975	Welander distal myopathy
H01976	Tibial muscular dystrophy
H01977	Laing distal myopathy; Myopathy, distal 1 (MPD1)
H01978	Dehydrated hereditary stomatocytosis; Hereditary xerocytosis
H01979	Overhydrated hereditary stomatocytosis; Hereditary xerocytosis
H01980	SCAD deficiency; Short-chain acyl-CoA dehydrogenase deficiency; ACADS deficiency
H01981	Carnitine palmitoyltransferase I deficiency
H01982	Carnitine palmitoyltransferase II deficiency
H01983	Carnitine-acylcarnitine translocase deficiency
H01984	Leopard syndrome
H01985	Desmoplastic small round cell tumor
H01986	Legius syndrome
H01987	Familial dysautonomia; Riley-Day syndrome; Hereditary sensory and autonomic neuropathy type 3
H01988	Jackson-Weiss syndrome
H01989	Beare-Stevenson syndrome; Beare-Stevenson cutis gyrata syndrome
H01990	Muenke syndrome; Muenke craniosynostosis
H01991	Saethre-Chotzen syndrome
H01992	Craniofrontonasal syndrome; Craniofrontonasal dysplasia
H01993	Baller-Gerold syndrome
H01994	Lafora disease
H01995	Unverricht-Lundborg disease; Epilepsy, progressive myoclonic 1
H01996	Pyruvate dehydrogenase phosphatase deficiency
H01997	Pyruvate dehydrogenase E1-alpha deficiency
H01998	Pyruvate dehydrogenase E1-beta deficiency
H01999	Pyruvate dehydrogenase E2 deficiency
H02000	Dihydrolipoamide dehydrogenase deficiency; E3 deficiency; Maple syrup urine disease type III
H02001	Familial pseudohyperkalemia
H02002	Cryohydrocytosis
H02003	Pyruvate dehydrogenase E3-binding protein deficiency; Lacticacidemia due to PDX1 deficiency
H02004	Fumarase deficiency; Fumaric aciduria
H02005	Mitochondrial complex II deficiency; Succinate dehydrogenase deficiency; Succinate CoQ reductase deficiency
H02006	Alpha-ketoglutarate dehydrogenase complex deficiency
H02007	GRACILE syndrome; Fellman syndrome; Finnish lethal neonatal metabolic syndrome
H02008	Galactose-1P uridylyltransferase deficiency; Classic galactosemia; Galactosemia type I
H02009	Galactokinase deficiency; Galactosemia II
H02010	Galactose epimerase deficiency; Galactosemia III
H02011	Familial juvenile hyperuricemic nephropathy
H02012	Medullary cystic kidney disease
H02013	Glycerol kinase deficiency
H02014	Ataxia-telangiectasia-like syndrome
H02015	LIG4 syndrome
H02016	Tay-Sachs disease; GM2 gangliosidoses type I
H02017	Sandhoff disease; GM2 gangliosidoses type II
H02018	Central precocious puberty
H02019	Familial male-limited precocious puberty; Familial testotoxicosis; Gonadotropin-independent familial sexual precocity
H02020	Aromatase deficiency
H02021	Chediak-Higashi syndrome
H02022	Griscelli syndrome
H02023	Baraitser-Winter syndrome
H02024	Neutrophil specific granule deficiency
H02025	Myeloperoxidase deficiency
H02026	Familial hypocalciuric hypercalcemia
H02027	Male hypogonadism
H02028	Filariasis
H02029	Mycobacterium avium complex (MAC) pulmonary disease
H02030	Neonatal hyperparathyroidism
H02031	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
H02032	Entomophthoramycosis
H02033	Mucormycosis
H02034	Central hypothyroidism and testicular enlargement
H02035	Isolated growth hormone deficiency
H02036	Combined pituitary hormone deficiency
H02037	Laron syndrome; Growth hormone insensitivity syndrome; Pituitary dwarfism II
H02038	X-linked panhypopituitarism
H02039	Kowarski syndrome
H02040	Insulin-like growth factor I deficiency
H02041	Myopia
H02042	Familial expansile osteolysis
H02043	Capillary malformation-arteriovenous malformation
H02044	Cutaneous and mucosal venous malformation; Mucocutaneous venous malformation
H02045	Norrie disease
H02046	OFC syndrome; Oto-facio-cervical syndrome
H02047	Bohring-Opitz syndrome
H02048	Larsen syndrome
H02049	Bilateral macronodular adrenal hyperplasia
H02050	Prepubertal periodontitis
H02051	May-Hegglin anomaly
H02052	Sebastian syndrome
H02053	Fechtner syndrome
H02054	Crigler-Najjar syndrome
H02055	Gilbert syndrome
H02056	Dubin-Johnson syndrome
H02057	Rotor syndrome
H02058	Kohlschutter-Tonz syndrome
H02059	Leptin deficiency
H02060	Leptin receptor deficiency
H02061	Estrogen resistance syndrome
H02062	Familial digital arthropathy-brachydactyly
H02063	Diastrophic dysplasia
H02064	Atelosteogenesis type I and III
H02065	Achondrogenesis type IB; Achondrogenesis, Fraccaro type
H02066	Achondrogenesis type II; Achondrogenesis, Langer-Saldino type
H02067	Boomerang dysplasia
H02068	Hypochondroplasia
H02069	SADDAN; Severe achondroplasia with developmental delay and acanthosis nigricans
H02070	Kniest dysplasia
H02071	Czech dysplasia
H02072	Stickler syndrome
H02073	Wagner syndrome
H02074	Knobloch syndrome
H02075	Enhanced S-cone syndrome
H02076	Bacteroides infection
H02077	Snowflake vitreoretinal degeneration
H02078	Autosomal dominant vitreoretinochoroidopathy
H02079	Oto-spondylo-megaepiphyseal dysplasia; OSMED; Weissenbacher-Zweymuller syndrome
H02080	Fibrochondrogenesis
H02081	Marshall syndrome
H02082	Floating-Harbor syndrome
H02083	Focal facial dermal dysplasia
H02084	Native American myopathy
H02085	Acyl-CoA dehydrogenase 9 deficiency
H02086	Mitochondrial complex III deficiency
H02087	Vertebral, cardiac, renal, and limb defects syndrome; Congenital NAD deficiency disorder
H02088	Primary intraosseous vascular malformation; Primary intraosseous hemangioma
H02089	Winchester syndrome
H02090	Trehalase deficiency
H02091	Jervell and Lange-Nielsen syndrome
H02092	von Willebrand disease
H02093	Platelet-type von Willebrand disease; Pseudo-von Willebrand disease
H02094	Carvajal syndrome; Dilated cardiomyopathy with woolly hair and keratoderma
H02095	Perrault syndrome
H02096	Peroxisomal acyl-CoA oxidase deficiency
H02097	Gray platelet syndrome; Bleeding disorder platelet-type 4
H02098	D-bifunctional protein deficiency; DBP deficiency; Bifunctional enzyme deficiency
H02099	Alpha-methylacyl-CoA racemase deficiency; AMACR deficiency
H02100	Peroxisomal fatty acyl-CoA reductase 1 disorder
H02101	Autosomal dominant sensory ataxia
H02102	Myhre syndrome
H02103	DeSanto-Shinawi syndrome
H02104	Megalocornea; X-linked megalocornea
H02105	Prohormone convertase 1/3 deficiency
H02106	Genetic obesity
H02107	Bietti crystalline corneoretinal dystrophy
H02108	Basal laminar drusen
H02109	Combined malonic and methylmalonic aciduria
H02110	Doyne honeycomb retinal dystrophy; Malattia leventinese
H02111	Autism; Autistic spectrum disorder; Pervasive developmental disorder
H02112	Persistent hyperplastic primary vitreous; Persistent fetal vasculature
H02113	Infantile cerebellar-retinal degeneration
H02114	Spastic paraplegia, optic atrophy, and neuropathy
H02115	Congenital aural atresia
H02116	Phosphoserine phosphatase deficiency
H02117	Neu-Laxova syndrome
H02118	Agnathia-otocephaly complex; Otocephaly
H02119	Proteus syndrome
H02120	Anencephaly
H02121	Koolen-De Vries syndrome; Chromosome 17q21.31 deletion syndrome; Microdeletion 17q21.31 syndrome
H02122	Chronic atrial and intestinal dysrhythmia; CAID syndrome
H02123	Celiac disease
H02124	Interstitial lung and liver disease; Hereditary pulmonary alveolar proteinosis with hepatic involvement
H02125	Cardiac conduction disease with or without dilated cardiomyopathy
H02126	Mandibulofacial dysostosis with alopecia
H02127	Yunis-Varon syndrome
H02128	Defects in lysosomal trafficking
H02129	Prune belly syndrome; Triad syndrome; Eagle-Barret syndrome; Abdominal musculature deficiency syndrome
H02130	Mucolipidosis III; Pseudo-Hurler polydystrophy
H02131	UV-sensitive syndrome
H02132	Microcephaly syndrome
H02133	Vici syndrome; Immunodeficiency with cleft lip/palate, cataract, hypopigmentation, and absent corpus callosum
H02134	Microphthalmia with limb anomalies; Anophthalmia-syndactyly syndrome; Waardenburg anophthalmia syndrome; Ophthalmoacromelic syndrome
H02135	Cone-rod dystrophy and hearing loss
H02136	Branched-chain ketoacid dehydrogenase kinase deficiency; BCKDK deficiency
H02137	Laurence-Moon syndrome
H02138	Hereditary hypophophatemic rickets with hypercalciuria
H02139	Autosomal recessive hypophosphatemic rickets
H02140	Boucher-Neuhauser syndrome
H02141	Autosomal dominant hypophosphatemic rickets
H02142	X-linked recessive hypophosphatemic rickets
H02143	X-linked dominant hypophosphatemic rickets
H02144	Gordon Holmes syndrome; Cerebellar ataxia and hypogonadotropic hypogonadism
H02145	Calcium oxalate nephrolithiasis; Calcium oxalate urolithiasis
H02146	Glass syndrome; Chromosome 2q32-q33 deletion syndrome; SATB2-associated syndrome
H02147	X-linked recessive nephrolithiasis with renal failure
H02148	Low molecular weight proteinuria with hypercalciuria and nephrocalcinosis
H02149	X-linked hypercalciuric nephrolithiasis
H02150	Infantile or early childhood epileptic encephalopathy
H02151	Hereditary congenital facial paresis
H02152	Transient familial neonatal hyperbilirubinemia; Lucey-Driscoll syndrome
H02153	Megalencephaly-capillary malformation syndrome; MCAP syndrome
H02154	Omodysplasia
H02155	Dyssegmental dysplasia
H02156	Lamb-Shaffer syndrome; 12p12.1 microdeletion syndrome
H02157	Short-rib thoracic dysplasia
H02158	Weyers acrofacial dysostosis; Curry-Hall syndrome
H02159	Familial cold autoinflammatory syndrome; Familial cold urticaria
H02160	Craniosynostoses
H02161	Greig cephalopolysyndactyly syndrome
H02162	Viral hepatitis
H02163	Oropouche fever
H02164	Sandfly fever
H02165	Colorado tick fever
H02166	Saint Louis encephalitis
H02167	Lymphedema-distichiasis syndrome
H02168	Hypotrichosis-lymphedema-telangiectasia syndrome
H02169	Hennekam lymphangiectasia-lymphedema syndrome
H02170	Microphthalmia, syndromic
H02171	Rocio viral encephalitis
H02172	Nanophthalmos
H02173	Arenaviral hemorrhagic fever
H02174	Sudden infant death with dysgenesis of the testes syndrome
H02175	Hypospadias
H02176	Cryptorchidism
H02177	Androgen insensitivity syndrome
H02178	MASA syndrome; X-linked hereditary spastic paraplegia
H02179	Rippling muscle disease
H02180	McKusick-Kaufman syndrome
H02181	Idiopathic hyperCKemia; Elevated serum creatine phosphokinase
H02182	Distal myopathy, Tateyama type
H02183	Parastremmatic dwarfism; Parastremmatic dysplasia
H02184	Metatropic dysplasia
H02185	Spondylometaphyseal dysplasia
H02186	Spondyloepiphyseal dysplasia, Maroteaux type; Pseudo-Morquio syndrome type 2
H02187	Spondyloepimetaphyseal dysplasia
H02188	Watson syndrome; Pulmonary valvular stenosis with cafe au lait spots
H02189	Neurofibromatosis-Noonan syndrome
H02190	CBL syndrome; Noonan syndrome-like disorder with juvenile myelomonocytic leukemia
H02191	Noonan-like syndrome with loose anagen hair
H02192	Benign recurrent intrahepatic cholestasis
H02193	Intrahepatic cholestasis of pregnancy; Obstetric cholestasis
H02194	North American Indian childhood cirrhosis
H02195	MEHMO syndrome
H02196	X-linked creatine deficiency syndrome
H02197	Mitochondrial pyruvate carrier deficiency
H02198	Pancreatic agenesis and congenital heart disease; Pancreatic hypoplasia diabetes heart disease; Yorifuji-Okuno syndrome
H02199	Congenital heart defects, multiple type
H02200	Leukoencephalopathy, progressive, with ovarian failure; Ovarioleukodystrophy
H02201	Mitochondrial myopathy with lactic acidosis
H02202	Oblique facial cleft
H02203	Optic nerve hypoplasia
H02204	Hereditary hyperferritinaemia-cataract syndrome; Bonneau-Beaumont syndrome
H02205	Mucopolysaccharidosis-plus syndrome
H02206	Aceruloplasminemia; Ceruloplasmin deficiency
H02207	Kufor-Rakeb syndrome; Parkinson disease 9
H02208	Pantothenate kinase-associated neurodegeneration; Hallervorden-Spatz disease; Neurodegeneration with brain iron accumulation 1
H02209	HARP syndrome
H02210	Acromelic frontonasal dysostosis
H02211	Acrodysostosis
H02212	Familial infantile myoclonic epilepsy
H02213	Familial adult myoclonic epilepsy; Benign adult familial myoclonic epilepsy
H02214	Familial focal epilepsy with variable foci
H02215	Childhood absence epilepsy
H02216	Juvenile absence epilepsy
H02217	Juvenile myoclonic epilepsy
H02218	DOORS syndrome; Eronen syndrome; Digitorenocerebral syndrome
H02219	DDOD syndrome; Dominant deafness-onychodystrophy
H02220	MEDNIK syndrome; Erythrokeratodermia variabilis type 3
H02221	Methylmalonic aciduria and homocystinuria
H02222	Methylmalonic acidemia and hyperhomocysteinemia, cblX type
H02223	Osteocraniostenosis; Gracile bone dysplasia
H02224	Grange syndrome
H02225	Familial cirrhosis
H02226	Cardiospondylocarpofacial syndrome; Forney syndrome
H02227	Frontometaphyseal dysplasia
H02228	Acromicric dysplasia
H02229	Terminal osseous dysplasia; Terminal osseous dysplasia and pigmentary defects
H02230	X-linked cardiac valvular dysplasia; X-linked myxomatous valvular dystrophy
H02231	Optic disc anomalies with retinal and/or macular dystrophy
H02232	CAGSSS syndrome; Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia
H02233	Alazami syndrome
H02234	Hamamy syndrome
H02235	Morbid obesity and spermatogenic failure
H02236	Keppen-Lubinsky syndrome
H02237	AMP deaminase deficiency
H02238	Spinal muscular atrophy with congenital bone fractures
H02239	Ehlers-Danlos syndrome, spondylodysplastic type
H02240	Ehlers-Danlos syndrome periodontal type
H02241	Ehlers-Danlos syndrome cardiac valvular type
H02242	Ehlers-Danlos syndrome vascular type; Ehlers-Danlos syndrome type IV
H02243	Ehlers-Danlos syndrome arthrochalasia type
H02244	Ehlers-Danlos syndrome dermatosparaxis type; Ehlers-Danlos syndrome type VIIC
H02245	Ehlers-Danlos syndrome kyphoscoliosis type
H02246	Ehlers-Danlos syndrome musculocontractural type
H02247	Ehlers-Danlos syndrome myopathic type; Bethlem myopathy 2
H02248	MEND syndrome
H02249	Primrose syndrome
H02250	Early-onset vitamin B6-dependent epilepsy
H02251	Coats plus syndrome; Cerebroretinal microangiopathy with calcifications and cysts
H02252	PEHO syndrome
H02253	Beaulieu-Boycott-Innes syndrome
H02254	Craniosynostosis and dental anomalies
H02255	FDLAB syndrome; Traboulsi syndrome
H02256	Factor VII deficiency; Hypoproconvertinemia
H02257	Factor X deficiency
H02258	Tubular aggregate myopathy
H02259	Stormorken syndrome
H02260	Chondrodysplasia Chassaing-Lacombe type; Chondrodysplasia with platyspondyly, distinctive brachydactyly, hydrocephaly, and microphthalmia
H02261	PEBAT; Early-onset progressive encephalopathy with brain atrophy and thin corpus callosum
H02262	PEBEL; Early-onset progressive encephalopathy with brain edema and/or leukoencephalopathy
H02263	Focal nonepidermolytic palmoplantar keratoderma
H02264	Palmoplantar keratoderma, Nagashima type
H02265	Annular epidermolytic ichthyosis; Cyclic ichthyosis with epidermolytic hyperkeratosis
H02266	Palmoplantar keratoderma, Bothnian type
H02267	Wilson-Turner syndrome
H02268	Wieacker-Wolff syndrome
H02269	Familial ventricular tachycardia
H02270	Cavitary optic disc anomalies
H02271	Cerebellofaciodental syndrome
H02272	CAPOS syndrome
H02273	Nonprogressive cerebellar ataxia with mental retardation
H02274	Cerebellar atrophy, visual impairment, and psychomotor retardation
H02275	Batten disease; Spielmeyer-Vogt disease; Juvenile neuronal ceroid lipofuscinoses
H02276	Kufs disease; Adult-onset neuronal ceroid lipofuscinosis
H02277	Santavuori-Haltia disease; Infantile neuronal ceroid lipofuscinosis
H02278	Jansky-Bielschowsky disease; Late infantile neuronal ceroid lipofuscinosis
H02279	Cathepsin D deficiency
H02280	Complex lethal osteochondrodysplasia; Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type
H02281	Isolated anhidrosis with normal sweat glands; Dann-Epstein-Sohar syndrome
H02282	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly
H02283	IVIC syndrome
H02284	Leukotriene C4 synthase deficiency
H02285	Methylmalonate semialdehyde dehydrogenase deficiency
H02286	Congenital deafness with inner ear agenesis, microtia, and microdontia; Deafness with labyrinthine aplasia, microtia, and microdontia (LAMM)
H02287	Deafness, dystonia, and cerebral hypomyelination
H02288	Retinal dystrophy with inner retinal dysfunction and ganglion cell abnormalities
H02289	Retinal dystrophy with or without extraocular anomalies
H02290	Retinal dystrophy and iris coloboma with congenital cataract
H02291	Retinal dystrophy, iris coloboma, and comedogenic acne syndrome
H02292	Retinal dystrophy, juvenile cataracts, and short stature syndrome
H02293	Spastic paraplegia-psychomotor retardation-seizures syndrome
H02294	Tatton-Brown-Rahman syndrome
H02295	Adermatoglyphia
H02296	Basan syndrome; Ectodermal dysplasia absent dermatoglyphics
H02297	CLAPO syndrome
H02298	Macrocephaly, dysmorphic facies, and psychomotor retardation
H02299	Arthrogryposis multiplex congenita
H02300	Steel syndrome
H02301	Nephroblastoma; Wilms tumor
H02302	Hepatoblastoma
H02303	Alopecia-mental retardation syndrome
H02304	Combined D-2- and L-2-hydroxyglutaric aciduria
H02305	RERE-related neurodevelopmental syndrome; Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart
H02306	Chondrodysplasia with joint dislocations, GPAPP type
H02307	Muscular dystrophy-dystroglycanopathy
H02308	Immunodeficiency-centromeric instability-facial anomalies syndrome
H02309	Adenosine deaminase deficiency
H02310	Renal tubular acidosis
H02311	Molybdenum cofactor deficiency
H02312	Glutathione synthetase deficiency
H02313	5-Oxoprolinase deficiency
H02314	Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete
H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
H02316	Adrenal insufficiency, NR5A1 related
H02317	SERKAL syndrome
H02318	Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal
H02319	IMAGE syndrome
H02320	Vacuolar myopathy with CASQ1 aggregates
H02321	Early-onset myopathy, areflexia, respiratory distress, and dysphagia
H02322	Amyloidosis, Finnish type; Meretoja syndrome; Amyloid cranial neuropathy with lattice corneal dystrophy
H02323	Ruijs-Aalfs syndrome
H02324	Sacral agenesis with vertebral anomalies
H02325	Schaaf-Yang syndrome
H02326	Keipert syndrome; Nasodigitoacoustic syndrome
H02327	KBG syndrome
H02328	Sifrim-Hitz-Weiss syndrome
H02329	Hepatic lipase deficiency
H02330	Pancreatic lipase deficiency
H02331	Gastrointestinal defects and immunodeficiency syndrome; Combined immunodeficiency with multiple intestinal atresia
H02332	Preaxial polydactyly
H02333	Laurin-Sandrow syndrome
H02334	Pierpont syndrome
H02335	Preimplantation embryonic lethality
H02336	Deafness, Y-linked
H02337	Skraban-Deardorff syndrome
H02338	PEHO-like syndrome
H02339	Auditory neuropathy
H02340	Absorptive hypercalciuria
H02341	Goldmann-Favre syndrome
H02342	Frontotemporal dementia and amyotrophic lateral sclerosis
H02343	EVEN-plus syndrome
H02344	Cowchock syndrome; X-linked Charcot-Marie-Tooth disease type 4
H02345	Autosomal recessive peripheral neuropathy (PNRIID)
H02346	Intellectual developmental disorder with short stature
H02347	Thauvin-Robinet-Faivre syndrome
H02348	Dentin dysplasia
H02349	Odontochondrodysplasia; Goldblatt syndrome
H02350	Dyschromatosis universalis hereditaria
H02351	Cowpox
H02352	Vaccinia
H02353	Hyperekplexia and epilepsy; Early infantile epileptic encephalopathy-8
H02354	Orf; Contagious pustular dermatitis; Contagious ecthyma
H02355	Deafness and myopia
H02356	PCWH syndrome; Waardenburg-Shah syndrome, neurologic variant
H02357	Congenital hypomyelinating neuropathy
H02358	Arthrogryposis multiplex congenita, neurogenic, with myelin defect
H02359	Dejerine-Sottas disease; Charcot-Marie-Tooth disease type 3
H02360	Epileptic encephalopathy, childhood-onset
H02361	Myoclonic-atonic epilepsy
H02362	Benign familial infantile seizure
H02363	Ververi-Brady syndrome
H02364	Heart and brain malformation syndrome
H02365	Helsmoortel-van der Aa syndrome; Mental retardation, autosomal dominant 28
H02366	Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome
H02367	Chorea, childhood-onset, with psychomotor retardation
H02368	Developmental delay with short stature, dysmorphic facial features, and sparse hair
H02369	IMAGE-I syndrome
H02370	FILS syndrome
H02371	Intellectual developmental disorder with autism and speech delay
H02372	Cystoisosporiasis; Isosporiasis
H02373	Sarcocystosis
H02374	Blastocystosis
H02375	Cardiac valvular defect, developmental
H02376	Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies
H02377	Leukodystrophy and acquired microcephaly with or without dystonia
H02378	Hypotonia, ataxia, and delayed development syndrome
H02379	Rickettsialpox
H02380	D-glyceric aciduria
H02381	Cleft palate, psychomotor retardation, and distinctive facial features
H02382	Bainbridge-Ropers syndrome
H02383	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis
H02384	Abdominal obesity-metabolic syndrome; Metabolic syndrome X
H02385	Eumycetoma
H02386	Phaeohyphomycosis
H02387	Snijders Blok-Fisher syndrome
H02388	Infantile-onset limb and orofacial dyskinesia
H02389	Familial dyskinesia with facial myokymia
H02390	Autosomal recessive neuromyotonia and axonal neuropathy
H02391	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease
H02392	Scedosporiosis; Pseudoallescheriosis
H02393	Talaromycosis; Penicilliosis
H02394	Cleft palate, cardiac defects, and mental retardation
H02395	Calvarial doughnut lesions with bone fragility
H02396	Corpus callosum agenesis with facial anomalies and cerebellar ataxia
H02397	Neurodevelopmental disorder with movement abnormalities or hypotonia
H02398	COVID-19; Coronavirus disease 2019
H02399	Primary amoebic meningoencephalitis (PAM)
H02400	Rhinosporidiosis
H02401	Acanthamoebiasis
H02402	Thyroid eye disease; Graves ophthalmopathy
H02403	Angiostrongyliasis
H02404	Capillariasis
H02405	Oesophagostomiasis
H02406	Syngamosis
H02407	Trichostrongyliasis
H02408	Dipylidiasis
H02409	Dicrocoeliasis
H02410	Myelodysplastic/myeloproliferative neoplasms
H02411	Chronic myelomonocytic leukemia
H02412	Atypical chronic myeloid leukemia
H02413	Epidemic myalgia; Epidemic pleurodynia; Bornholm disease
H02414	Autoinflammation, panniculitis, and dermatosis syndrome
H02415	Craniofacial dysmorphism, skeletal anomalies, and mental retardation syndrome; Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development
H02416	Cimicosis
H02417	Gingival fibromatosis with hypertrichosis
H02418	Non-Hodgkin lymphoma
H02419	Glycine encephalopathy with normal serum glycine
H02420	Head and neck cancer
H02421	Solid tumor
H02422	Retinitis pigmentosa with skeletal anomalies
H02423	Phthiriasis; Phthiriasis pubis; Pubic lice infestation
H02424	Primary central nervous system lymphoma
H02425	Erdheim-Chester disease
H02426	EDICT syndrome
H02427	Soft tissue sarcomas
H02428	Trichosporonosis
H02429	Actinic keratosis
H02430	Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus
H02431	Cerebellar hypoplasia, epilepsy, and global developmental delay
H02432	Butyrylcholinesterase deficiency
H02433	Hypomyelination with brainstem and spinal cord involvement and leg spasticity
H02434	Diffuse large B-cell lymphoma, not otherwise specified
H02435	Deafness-infertility syndrome
H02436	Al-Gazali syndrome
H02437	Growth retardation, impaired intellectual development, hypotonia, and hepatopathy
H02438	Hyperglycinemia, lactic acidosis, and seizures
H02439	Short stature, developmental delay, congenital heart defect
H02440	Fleck retina, familial benign
H02441	HUPRA syndrome
H02442	Common cold
H02444	Luscan-Lumish syndrome
H02445	Microcornea, myopic chorioretinal atrophy, and telecanthus
H02446	Autosomal recessive macrocephaly/megalencephaly syndrome
H02447	Myopathy with extrapyramidal signs
H02448	Harel-Yoon syndrome
H02449	Autosomal dominant lamellar ichthyosis
H02450	Horizontal gaze palsy with progressive scoliosis
H02451	Congenital disorder of glycosylation with defective fucosylation
H02452	Muscle hypertrophy
H02453	Congenital heart defects and ectodermal dysplasia
H02454	Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder
H02455	Congenital heart defects, hamartomas of tongue, and polysyndactyly; Ostravik-Lindemann-Solberg syndrome
H02456	Ectodermal dysplasia
H02457	Developmental delay, leukoencephalopathy, and neurologic decompensation
H02458	Hydrocephalus due to congenital stenosis of aqueduct of Sylvius; X-linked hydrocephalus
H02459	Syndromic neurodevelopmental disorder
H02460	Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies
H02461	Neurodevelopmental disorder with microcephaly
H02462	Spondyloepiphyseal dysplasia
H02463	Syndromic intellectual developmental disorder
H02464	Poretti-Boltshauser syndrome
H02465	Weiss-Kruszka syndrome
H02466	Rajab interstitial lung disease with brain calcification
H02467	Neonatal inflammatory skin and bowel disease
H02468	Early childhood-onset progressive leukodystrophy
H02469	Cone-rod synaptic disorder
H02470	Neurodevelopmental disorder with structural brain abnormalities
